2200053|Acaua
2200103|Agricolandia
2200202|Agua Branca
2200251|Alagoinha do Piauí
2200277|Alegrete do Piauí
2200301|Alto Longa
2200400|Altos
2200459|Alvorada do Gurgueia
2200509|Amarante
2200608|Angical do Piauí
2200707|Anisio de Abreu
2200806|Antonio Almeida
2200905|Aroazes
2200954|Aroeiras do Itaim
2201002|Arraial
2201051|Assunção do Piauí
2201101|Avelino Lopes
2201150|Baixa Grande do Ribeiro
2201176|Barra D Alcantara
2201200|Barras
2201309|Barreiras do Piauí
2201408|Barro Duro
2201507|Batalha
2201556|Bela Vista do Piauí
2201572|Belem do Piauí
2201606|Beneditinos
2201705|Bertolinia
2201739|Betania do Piauí
2201770|Boa Hora
2201804|Bocaina
2201903|Bom Jesus
2201919|Bom Principio do Piauí
2201929|Bonfim do Piauí
2201945|Boqueirão do Piauí
2201960|Brasileira
2201988|Brejo do Piauí
2202000|Buriti dos Lopes
2202026|Buriti dos Montes
2202059|Cabeceiras do Piauí
2202075|Cajazeiras do Piauí
2202083|Cajueiro da Praia
2202091|Caldeirão Grande do Piauí
2202109|Campinas do Piauí
2202117|Campo Alegre do Fidalgo
2202133|Campo Grande do Piauí
2202174|Campo Largo do Piauí
2202208|Campo Maior
2202251|Canavieira
2202307|Canto do Buriti
2202406|Capitão de Campos
2202455|Capitão Gervasio Oliveira
2202505|Caracol
2202539|Caraúbas do Piauí
2202554|Caridade do Piauí
2202604|Castelo do Piauí
2202653|Caxingo
2202703|Cocal
2202711|Cocal de Telha
2202729|Cocal do Alves
2202737|Coivaras
2202752|Colonia do Gurgueia
2202778|Colonia do Piauí
2202802|Conceição do Caninde
2202851|Coronel Jose Dias
2202901|Corrente
2203008|Cristalandia do Piauí
2203107|Cristino Castro
2203206|Curimata
2203230|Currais
2203255|Curralinhos
2203271|Curral Novo do Piauí
2203305|Demerval Lobao
2203354|Dirceu Arcoverde
2203404|Dom Expedito Lopes
2203420|Domingos Mourao
2203453|Dom Inocencio
2203503|Elesbão Veloso
2203602|Eliseu Martins
2203701|Esperantina
2203750|Fartura do Piauí
2203800|Flores do Piauí
2203859|Floresta do Piauí
2203909|Floriano
2204006|Francinopolis
2204105|Francisco Ayres
2204154|Francisco Macedo
2204204|Francisco Santos
2204303|Fronteiras
2204352|Geminiano
2204402|Gilbues
2204501|Guadalupe
2204550|Guaribas
2204600|Hugo Napoleão
2204659|Ilha Grande
2204709|Inhuma
2204808|Ipiranga do Piauí
2204907|Isaías Coelho
2205003|Itainopolis
2205102|Itaueira
2205151|Jacobina do Piauí
2205201|Jaicos
2205250|Jardim do Mulato
2205276|Jatoba do Piauí
2205300|Jerumenha
2205359|João Costa
2205409|Joaquim Pires
2205458|Joca Marques
2205508|Jose de Freitas
